CarbonTax_Diff_IC;Crude_oil;Natural_gas;Coal;FuelProd;Electricty;HeatGeoSol_Th;Steel_Iron;NonFerrousMetals;Cement;OthMin;Buildings_constr;ChemicalPharma;Paper;Mining;TranspEquipment;Transport_serv;Agriculture;Food_industry;Composite
Crude_oil;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Natural_gas;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Coal;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
FuelProd;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Electricty;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
HeatGeoSol_Th;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Steel_Iron;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
NonFerrousMetals;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Cement;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
OthMin;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Buildings_constr;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
ChemicalPharma;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Paper;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Mining;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
TranspEquipment;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Transport_serv;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Agriculture;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Food_industry;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Composite;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
