ConstrainedShare_C;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10
Crude_oil;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Natural_gas;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Coal;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
FuelProd;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Electricty;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
HeatGeoSol_Th;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Metals;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Minerals;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
OthIndus;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Agriculture;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Composite;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
